towerid;Latitudine;Longitudine;active;eNb;seNb;status;type;Nomesito;contributo;Bande
MKJQAEMNFF;44.405016;8.684974;Attivo;102088;Non presente;Non verificato;0;   Arenzano;SYSTEM;~B20~
LDFCQROQGF;44.5226825;8.6999735;Attivo;102089;Non presente;Non verificato;0;Campo ligure;SYSTEM;~B20~
IXJRMPNRQS;44.510899;8.930752;Attivo;102091;Non presente;Non verificato;0;Pedemonte;SYSTEM;~B20~
HDWOGTDJSV;44.5703676;8.95060933;Attivo;102092;Non presente;Non verificato;0;Busalla;SYSTEM;~B20~
GRQMGNKEDF;44.620751;8.951098;Attivo;102093;Non presente;Non verificato;0;   Ronco Scrivia;SYSTEM;~B20~
SMVMWDJGSP;44.4977346;8.903798;Attivo;102096;Non presente;Non verificato;0;   Genova;SYSTEM;~B20~
MFBKJQPBTD;44.50474;8.890842;Attivo;102097;Non presente;Verificato;0;GE097 - CAMPOMORONE;itreb;~B20~
AUVJBRHSLO;44.5372813;9.008927;Attivo;102100;Non presente;Non verificato;0;Savignone;SYSTEM;~B20~
VCEOADXLDN;44.471314;9.115103;Attivo;102104;Non presente;Verificato;0;GE104 - DAVAGNA;itreb;~B20~
XGXMXJACEN;44.4532568;9.06477856;Attivo;102105;Non presente;Verificato;0;GE105 - MAREGLIA;itreb;~B20~
ECOOTITNEY;44.3185625;9.218434;Attivo;102110;Non presente;Non verificato;0;Santa Margherita ligure;SYSTEM;~B20~
QMVFBHUMVN;44.334329;9.21372866;Attivo;102111;Non presente;Non verificato;0;Santa Margherita Ligure;SYSTEM;~B20~
OMWEVOXWXO;44.335038;9.2097635;Attivo;102112;Non presente;Non verificato;0;Santa Margherita Ligure;SYSTEM;~B20~
NHQQLBSLEP;44.352508;9.2274885;Attivo;102113;Non presente;Non verificato;0;Rapallo;SYSTEM;~B20~
IWNHTAPOJD;44.350759;9.232124;Attivo;102114;Non presente;Non verificato;0;Rapallo;SYSTEM;~B20~
VMSHYVQDTT;44.3193936;9.32196633;Attivo;102116;Non presente;Non verificato;0;Chiavari;SYSTEM;~B20~
FGUVDJHBVC;44.3273996;9.329189;Attivo;102117;Non presente;Non verificato;0;   Chiavari;SYSTEM;~B20~
LDCAYIAPTC;44.312431;9.34019433;Attivo;102118;Non presente;Non verificato;0;Lavagna;SYSTEM;~B20~
JLUOBBHUBK;44.2745755;9.397701;Attivo;102119;Non presente;Non verificato;0;Sestri Levante;SYSTEM;~B20~
BELFKVVBWG;44.2722053;9.44782133;Attivo;102120;Non presente;Non verificato;0;Casarza Ligure;SYSTEM;~B20~
UAJQLTPKKH;44.268047;9.42606433;Attivo;102121;Non presente;Non verificato;0;Sestri Levante;SYSTEM;~B20~
FOPBYNKGRI;44.3452695;9.3493745;Attivo;102122;Non presente;Non verificato;0;   Rivarola;SYSTEM;~B20~
XPTSFNCRIS;44.3791136;9.10766166;Attivo;102123;Non presente;Non verificato;0;   Sori;SYSTEM;~B20~
OLGAUIUGCR;44.4179066;8.89738066;Attivo;102124;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
RJWUBDEODK;44.355953;9.2085695;Attivo;102126;Non presente;Non verificato;0;Rapallo;SYSTEM;~B20~
AENJOVWPGW;44.389146;9.0109095;Attivo;102140;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
KWKTVAJLHH;44.3473603;9.23856033;Attivo;102144;Non presente;Non verificato;0;Rapallo;SYSTEM;~B20~
WADNUDPKVQ;44.341542;9.22146;Attivo;102148;Non presente;Non verificato;0;Rapallo;SYSTEM;~B20~
LLHYNOONYL;44.316738;9.33178266;Attivo;102154;Non presente;Non verificato;0;Chiavari;SYSTEM;~B20~
QKWRSUYWOD;44.4316705;8.768189;Attivo;102164;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
JXOQIELCVM;44.393336;9.00059733;Attivo;102165;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
NBLKSVCXID;44.4142485;8.93693775;Attivo;102168;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
DMRMOEPPIX;44.4281186;8.81799233;Attivo;102170;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
BMTRCXWRGQ;44.4284196;8.84892133;Attivo;102171;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
MTMMVRXFXE;44.5103236;9.31985233;Attivo;102173;Non presente;Non verificato;0;Rezzoaglio;SYSTEM;~B20~
KJTWAYTIOA;44.34585;9.3855525;Attivo;102176;Non presente;Non verificato;0;   Conscenti;SYSTEM;~B20~
FLOJMUACPW;44.4149366;8.914935;Attivo;102179;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
ITAVKHAHHB;44.4347395;9.256094;Attivo;102201;Non presente;Non verificato;0;   Lorsica;SYSTEM;~B20~
GXJRJNBHOC;44.3596663;9.19928133;Attivo;102208;Non presente;Non verificato;0;Rapallo;SYSTEM;~B20~
XTBJQVJKHM;44.3552186;9.229005;Attivo;102209;Non presente;Non verificato;0;Rapallo;SYSTEM;~B20~
